layout_id,field_name,location,country,latitude,longitude,flight_date
3140,Pontão FX1 FX2,Pontão RS,Brasil,-28.057,-52.679,10/25/2018 9:00
3142,Pontão FX1 FX2,Pontão RS,Brasil,-28.057,-52.679,10/25/2018 9:00
3143,Tibagi,Tibagi,Brasil,-24.508,-50.417,10/27/2018 16:15
3144,Tibagi,Tibagi,Brasil,-24.508,-50.417,10/27/2018 16:15
3147,Palma Sola,Palma Sola,Brasil,-26.347,-53.297,10/29/2018 12:00
3152,Palma Sola,Palma Sola,Brasil,-26.347,-53.297,10/29/2018 12:00
3153,Imbituva,Imbituva,Brasil,-25.228,-50.598,10/27/2018 9:00
3157,Imbituva,Imbituva,Brasil,-25.228,-50.598,10/27/2018 9:00
3175,Guarapuava FX3,Guarapuava,Brasil,-25.39,-51.462,10/23/2018 12:00
3177,Guarapuava FX3,Guarapuava,Brasil,-25.39,-51.462,10/23/2018 12:00
3181,Santo Augusto,Santo Augusto,Brasil,-27.85,-53.776,11/1/2018 12:00
3205,ACLG,"Chacabuco, BA",Argentina,-34.641,-60.473,11/1/2018 13:00
3207,PER1,Pergamino,Argentina,-33.892,-60.573,11/14/2018 0:00
3213,MOC1,Manuel Ocampo,Argentina,-33.919,-60.568,11/16/2018 0:00
3219,Guarapauva_V2,Guarapuava,Brasil,-25.39,-51.462,10/20/2018 0:00
3227,Castro,Castro pr,Brasil,-24.789,-50.01,11/9/2018 11:00
3258,ACCC,"Carlos Casares, BA",Argentina,-35.616,-61.364,11/15/2018 9:00
3366,CBU1,Corral de Bustos,Argentina,-33.282,-62.18,11/30/2018 9:00
3707,Londrina,Londrina FX1 - 5,Brasil,-23.31,-51.162,11/24/2018 15:30
3709,Londrina,Londrina FX1 - 5,Brasil,-23.31,-51.162,11/24/2018 15:30
3711,Londrina,Londrina FX1 - 5,Brasil,-23.31,-51.162,11/24/2018 15:30
4083,ACCC,"Carlos Casares, BA",Argentina,-35.616,-61.364,11/15/2018 9:00
4478,Quadra 8,Paulínia - SP,Brasil,-22.763,-47.154,1/11/2019 11:23
5255,Ipiranga,Ipiranga,Brasil,-23.589,-46.609,11/28/2018 11:40
5256,Ipiranga,Ipiranga,Brasil,-23.589,-46.609,11/28/2018 11:40
5258,Ipiranga,Ipiranga,Brasil,-23.589,-46.609,11/28/2018 11:40
5453,ACRC,Rio Cuarto,Argentina,-33.13,-64.349,1/22/2019 12:00
5510,ACLV,Las Varillas,Argentina,-31.874,-62.72,1/29/2019 12:30
5701,Toledo,Toledo,Brasil,-24.724,-53.741,2/8/2019 10:00
5702,Medianeira,Medianeira,Brasil,-25.298,-54.094,2/8/2019 14:30
5708,Araguari,Araguari,Brasil,-18.645,-48.193,12/5/2018 10:15
5709,Araguari,Araguari,Brasil,-18.645,-48.193,12/5/2018 10:15
5711,Araguari,Araguari,Brasil,-18.645,-48.193,12/5/2018 10:15
6672,Santa Terezinha Itaipu,Santa Terezinha Itaipu,Brasil,-25.439,-54.402,2/15/2019 14:00
6673,Campo Mourão,Campo Mourão,Brasil,-24.046,-52.378,3/12/2019 11:46
6695,Floresta,Floresta,Brasil,-23.603,-52.083,3/12/2019 9:47
6721,Ivatuba,Ivatuba,Brasil,-23.618,-52.222,3/12/2019 14:48
6727,Santa Mariana,Santa Mariana,Brasil,-23.147,-50.514,3/25/2019 11:54
6740,Aral Moreira 2,Aral Moreira,Brasil,-22.932,-55.635,2/28/2019 16:28
6747,Rolândia 1,Rolândia,Brasil,-23.311,-51.365,3/11/2019 10:21
7098,Palotina - Parte 1,Palotina,Brasil,-24.286,-53.838,2/14/2019 15:46
7106,Rolândia 2 - Parte I,Rolândia,Brasil,-23.311,-51.365,3/11/2019 11:28
7274,Sidrolândia - Parte I,Sidrolândia,Brasil,-20.93,-54.961,2/16/2019 14:56
7283,Sidrolândia - Parte I,Sidrolândia,Brasil,-20.93,-54.961,2/16/2019 16:23
7298,Sertanópolis - Parte I,Sertanópolis,Brasil,-23.058,-51.039,3/8/2019 11:40
7307,Sertanópolis - Parte I,Sertanópolis,Brasil,-23.058,-51.039,3/8/2019 14:27
31255,Cañete,ARBA,Argentina,-34.482,-58.245,2/4/2021 14:12
31396,Javicho,Las Cejas,Argentina,-27.042,-65.4,1/19/2021 10:30
33253,Campo Largo,ARBA,Argentina,-34.482,-58.245,2/7/2021 12:23
33833,Rafa La Cruz,La Cruz,Argentina,-31.233,-64.5,1/27/2021 11:48
33881,Rosario de la Frontera,ARBA,Argentina,-25.8,-64.966,2/5/2021 9:45
33899,Pozo Hondo,ARBA,Argentina,-27.588,-64.954,2/4/2021 12:36
33928,Los Altos,ARBA,Argentina,-28.048,-65.499,1/30/2021 9:20
34199,Otumpa,ARBA,Argentina,-26.02,-62.678,2/8/2021 16:40
34234,Pampa del Infierno,ARBA,Argentina,-26.505,-61.18,2/6/2021 12:26
34246,Los Frentones,ARBA,Argentina,-26.407,-61.415,2/6/2021 10:01
34417,Charata,ARBA,Argentina,-27.215,-61.188,1/29/2021 12:44
34852,Saenz Peña,ARBA,Argentina,-26.785,-60.44,2/20/2021 15:39
35576,Tres Isletas,ARBA,Argentina,-26.34,-60.431,2/7/2021 16:18
35656,Saenz Peña,ARBA,Argentina,-26.785,-60.44,2/20/2021 15:39
36588,GDM Milho - Mamborê,Mamborê,Brasil,-24.317,-52.528,4/15/2021 8:52
36804,Bandera,ARBA,Argentina,-27.946,-62.302,1/28/2021 12:06
37179,Los Juries,ARBA,Argentina,-28.466,-62.097,1/28/2021 14:25
37186,Quimilí,ARBA,Argentina,-27.633,-62.416,1/28/2021 17:42
37326,Tolloche,ARBA,Argentina,-24.914,-64.883,2/8/2021 9:58
37328,Roversi,ARBA,Argentina,-27.18,-62.765,2/21/2021 12:15
37420,Bandera,ARBA,Argentina,-27.946,-62.302,1/28/2021 12:06
37800,Kloieboeker Side by Side 9808E-G,Wentworth - MO,USA,36.881,-94.366,6/3/2021 13:49
37801,Piquete Cabado,ARBA,Argentina,-31.233,-64.5,2/5/2021 17:13
37807,Rods Fertilizer Master plot,Galva - IA,USA,41.167,-90.042,5/28/2021 12:31
37941,Heartland Coop OT Bean Stubble,Dallas Center - IA,USA,41.684,-93.961,5/28/2021 16:21
38028,Hofer Master plot,Spencer - SD,USA,43.147,-95.144,6/1/2021 17:50
38032,Vermillion SD OT,Vermillion - SD,USA,42.779,-96.929,5/24/2021 18:13
38349,Heartland Coop OT Corn on Corn,Dallas Center - IA,USA,41.684,-93.961,5/28/2021 15:32
38454,Lance Studer OT Side by Side 9714-G,Dallas Center - IA,USA,41.684,-93.961,5/26/2021 13:37
53750,LRV_Milho,State of Mato Grosso,Brasil,-12.68,-56.921,2/24/2022 15:32
53772,Sertanopolis - Milho,State of Paraná,Brasil,-23.058,-51.039,4/7/2022 16:11
53808,CF2225,Iowa,USA,41.878,-93.097,6/28/2022 13:55
53817,CF2223_B1_10ft_Normal,Iowa,USA,41.878,-93.097,6/22/2022 14:52
53819,CF2223_E1,Iowa,USA,41.878,-93.097,6/22/2022 14:08
53821,CF2223_B1_Normal,Iowa,USA,41.878,-93.097,6/22/2022 14:44
53822,WLM01,Iowa,USA,41.878,-93.097,6/20/2022 9:27
53823,WLM01,Iowa,USA,41.878,-93.097,6/20/2022 9:27
53824,WLM01,Iowa,USA,41.878,-93.097,6/20/2022 9:27
53825,BRKA,Iowa,USA,41.878,-93.097,6/20/2022 11:15
53839,CF2233,Iowa,USA,41.878,-93.097,6/3/2022 10:56
53849,CF2212,Iowa,USA,41.878,-93.097,6/8/2022 15:41
53850,CF2214,Iowa,USA,41.878,-93.097,7/1/2022 9:18
53851,CF2221,Iowa,USA,41.878,-93.097,6/6/2022 13:50
53853,CF2223_E1_10ft,Iowa,USA,41.878,-93.097,6/22/2022 13:58
53855,CF2232,Iowa,USA,41.878,-93.097,6/13/2022 14:12
53975,CF2222,Iowa,USA,41.878,-93.097,6/16/2022 12:19
53980,CF2224,Iowa,USA,41.878,-93.097,6/13/2022 12:27
53989,KYS02,Iowa,USA,41.878,-93.097,6/13/2022 13:04
53994,WRL01,Iowa,USA,41.878,-93.097,6/18/2022 12:44
54054,ATL02,Iowa,USA,41.878,-93.097,6/17/2022 10:02
54090,BRKD,Iowa,USA,41.878,-93.097,6/20/2022 12:06
54118,CF2221,Iowa,USA,41.878,-93.097,6/6/2022 13:54
54120,Sorenson 1,Iowa,USA,41.878,-93.097,6/29/2022 14:31
54189,CF2231,Iowa,USA,41.878,-93.097,6/17/2022 10:24
,,,,,,
